Embedding Model,Mean Accuracy,Std Accuracy,Min Accuracy,Max Accuracy,Total Correct,Total Questions
google/gemini-embedding-001,46.794871794871796,17.853072389148984,0.0,66.66666666666666,71,140
qwen/qwen3-embedding-8b,44.1025641025641,18.112500602144312,0.0,66.66666666666666,67,140
qwen/qwen3-embedding-4b,42.17948717948718,21.552956050850998,0.0,70.0,64,140
mistralai/codestral-embed-2505,39.48717948717949,17.852074982941932,0.0,58.333333333333336,60,140
openai/text-embedding-3-large,33.33333333333333,17.132382161232528,0.0,58.333333333333336,51,140
qwen/qwen3-embedding-0.6b,32.820512820512825,18.287627564485284,0.0,58.333333333333336,50,140
mistralai/mistral-embed-2312,32.05128205128205,21.5719494447999,0.0,66.66666666666666,49,140
openai/text-embedding-3-small,27.82051282051282,17.3256475399352,0.0,50.0,42,140
openai/text-embedding-ada-002,23.58974358974359,15.257756889501987,0.0,41.66666666666667,36,140
